Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1637189766.76358,37.86806,-122.258923333,5.0,34.6
1637189782.1849837,0,0,5.0,33.4
1637189797.6125793,37.867938333,-122.258643333,5.0,37.0
1637189812.879824,37.867971667,-122.258441667,5.0,29.0
1637189829.3307106,37.868015,-122.258273333,5.0,29.6
1637189844.4811132,37.86805,-122.258296667,5.0,30.8
1637189860.0689971,37.868055,-122.258181667,5.0,30.4
1637189875.7932148,37.868065,-122.258081667,5.0,29.2
1637189891.2674897,37.868133333,-122.257891667,5.0,26.2
1637189906.5578244,37.868133333,-122.257675,5.0,31.4
1637189922.3170297,37.868105,-122.257421667,14.0,27.2
1637189938.3697164,37.868063333,-122.257198333,6.5,30.6
1637189953.8026705,37.868116667,-122.256995,6.0,26.0
1637189969.456746,37.868223333,-122.256885,6.0,30.4
1637189985.4002137,37.868251667,-122.25687,7.5,24.6
1637190001.2775626,37.868101667,-122.25685,7.0,25.0
1637190017.3108735,37.86792,-122.256816667,7.0,30.2
1637190033.05304,37.867866667,-122.256826667,15.0,24.4
1637190049.569482,37.867793333,-122.256718333,11.5,31.4
1637190065.802295,37.867848333,-122.256703333,9.0,25.6
1637190081.8753705,37.867738333,-122.256626667,8.0,25.0
1637190099.6082141,37.8675,-122.256511667,9.0,25.0
1637190115.7790632,37.867235,-122.25652,8.0,20.2
1637190132.322879,37.867368333,-122.256596667,6.0,26.0
1637190150.9484274,37.867825,-122.256658333,6.0,27.8
1637190169.4095287,37.86787,-122.256638333,9.0,26.0
1637190188.428154,37.867971667,-122.2567,8.0,23.6
1637190206.9587536,37.868075,-122.256775,7.0,27.6
1637190226.340727,37.86817,-122.256868333,5.0,27.2
1637190245.2919142,37.868148333,-122.257176667,5.0,34.6
1637190264.3017929,37.868116667,-122.257455,6.0,30.2
1637190283.8018446,37.868008333,-122.257756667,6.0,25.8
1637190302.4484093,37.868013333,-122.257996667,6.0,28.8
1637190321.1432695,37.867988333,-122.258225,6.0,28.4
1637190340.1874387,37.867948333,-122.258363333,6.0,33.8
1637190358.7948823,37.867973333,-122.258405,6.0,40.8
1637190378.4885259,37.86793,-122.2583,6.0,45.6
1637190397.401566,37.868045,-122.258006667,6.0,43.2
1637190416.4491444,37.868031667,-122.258285,6.0,37.0
1637190435.0211754,37.867978333,-122.258395,5.5,35.4
1637190454.2613134,37.867963333,-122.258425,5.0,32.8
1637190473.2804236,37.8679,-122.258668333,5.0,35.6
1637190493.4869041,37.867775,-122.258873333,6.0,36.8
1637190513.244338,37.86805,-122.25903,6.0,37.8
1637190532.9875863,37.868313333,-122.258986667,14.0,27.2
1637190552.4383974,37.868508333,-122.259053333,16.0,34.6
1637190571.93262,37.86886,-122.259148333,19.5,34.6
1637190592.1011786,0,0,25.5,33.6
1637190611.8089988,37.869368333,-122.259245,18.0,40.4
1637190631.5935066,37.86963,-122.259331667,7.0,37.4
1637190651.5371754,37.869611667,-122.25957,8.0,27.0
1637190671.4566605,37.869463333,-122.259798333,20.0,23.2
1637190691.5122283,37.86938,-122.260003333,21.0,19.2
1637190712.3851442,37.869443333,-122.260305,19.0,28.4
1637190732.243015,0,0,18.0,16.0
1637190752.7861495,37.869443333,-122.260315,13.5,17.4
1637190773.0163734,37.869438333,-122.260311667,11.0,20.8
1637190792.8569906,37.869438333,-122.260318333,8.0,20.6
1637190813.380799,37.869433333,-122.260318333,8.0,17.0
1637190833.4693437,37.869425,-122.260305,7.0,19.6
1637190853.3935745,37.86942,-122.260306667,5.0,23.6
1637190873.5052886,37.869418333,-122.260303333,5.0,18.6
1637190893.3536713,37.869415,-122.260301667,6.0,23.4
1637190914.2601452,37.869415,-122.260295,7.0,19.8
1637190934.952218,37.86942,-122.260288333,9.0,20.2
1637190954.969974,37.869423333,-122.260285,7.0,16.6
1637190974.7141876,37.869418333,-122.260288333,6.0,20.4
1637190995.1790972,37.869418333,-122.260291667,6.0,23.4
1637191016.4484398,37.869423333,-122.260293333,6.0,21.8
1637191036.7165945,37.869425,-122.260281667,6.0,19.0
1637191057.3967602,37.869421667,-122.260283333,5.0,20.6
1637191077.758338,37.86943,-122.26028,6.0,17.2
1637191098.4238195,37.869428333,-122.26029,6.0,17.4
1637191119.774781,37.869428333,-122.260293333,6.0,18.0
1637191140.6247258,37.869431667,-122.2603,6.0,20.0
1637191161.4561791,37.869425,-122.260308333,6.0,16.4
1637191182.2048326,0,0,6.0,23.0
1637191204.2606034,37.869425,-122.260321667,6.0,19.0
1637191225.701266,37.869428333,-122.260315,6.0,22.8
1637191246.7481055,37.86943,-122.260296667,5.0,24.0
1637191268.16249,37.869425,-122.260285,5.0,18.6
1637191289.2230573,37.869423333,-122.260281667,5.0,20.4
1637191309.7374144,37.869423333,-122.260288333,5.0,19.6
1637191332.0331676,37.869423333,-122.26029,5.0,19.4
1637191353.4214904,37.869415,-122.2603,5.0,24.0
1637191374.7833786,37.869416667,-122.260293333,5.0,24.4
1637191395.4694426,37.86944,-122.260295,5.0,19.0
1637191417.5058856,37.86943,-122.260286667,5.0,21.8
1637191439.2629972,37.869438333,-122.260296667,5.0,19.2
1637191460.8933935,37.869416667,-122.260306667,5.0,19.4
1637191482.4456773,37.86938,-122.260318333,5.0,18.2
1637191504.047282,37.869373333,-122.260308333,5.5,20.8
1637191525.3640437,37.869383333,-122.260286667,6.0,19.4
1637191547.9034224,37.8694,-122.260271667,6.0,17.0
1637191569.9364104,37.869403333,-122.260281667,5.0,20.8
1637191592.7702112,37.869388333,-122.26029,5.0,19.2
1637191614.7633724,37.869388333,-122.260291667,6.0,20.4
1637191637.6118228,37.869385,-122.26029,5.0,15.4
